p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-BAG-28-061,7.7,5286,8.5,9.8,10
C-BAG-28-062,7.45,4014,8.4,9.8,9.9
C-BAG-29-001,7.51,5570,9.4,10,10
C-BAG-29-002,7.35,422,9.3,10,10
C-BAG-29-003,7.3,1378,9.2,10,10
C-BAG-29-004,7.44,2186,9.3,10,10
C-BAG-29-005,7.46,2744,9.3,10,10
C-BAG-29-006,7.34,1805,9.3,10,9.9
C-BAG-29-007,7.26,972,9.2,10,10
C-BAG-29-008,7.46,2169,9.3,10,10
C-BAG-29-009,7.54,4928,9.4,10,10
C-BAG-29-010,7.56,4522,9.4,10,10
C-BAG-29-011,7.29,415,9.2,10,9.2
C-BAG-29-012,7.52,2268,9.4,10,10
C-BAG-29-013,7.49,3992,9.3,10,10
C-BAG-29-014,7.43,2271,9.3,10,10
C-BAG-29-015,7.42,1356,9.3,10,10
C-BAG-29-016,7.22,868,9.2,10,10
C-BAG-29-017,7.17,423,9.2,10,9.7
C-BAG-29-018,7.39,3844,9.3,10,10
C-BAG-30-001,7.95,3580,9.4,10,10
C-BAG-30-002,8.11,13369,9.5,10,10
C-BAG-30-003,7.6,3660,9.2,10,10
C-BAG-30-004,8.13,9717,9.5,10,10
C-BAG-30-005,8.05,10786,9.5,10,10
C-BAG-30-006,7.81,3732,9.3,10,10
C-BAG-30-007,7.96,6349,9.4,10,10
C-BAG-30-008,8.02,7687,9.4,10,10
C-BAG-30-009,7.56,5269,9.2,10,10
C-BAG-30-010,7.95,4033,9.4,10,10
C-BAG-30-011,8.18,7190,9.5,10,10
C-BAG-30-012,7.85,4762,9.4,10,10
C-BAG-30-013,8.18,10035,9.5,10,10
C-BAG-30-014,8.15,5563,9.5,10,10
C-BAG-30-015,7.67,4833,9.3,10,10
C-BAG-30-016,8.12,8789,9.5,10,10
C-BAG-30-017,7.55,4158,9.2,10,10
C-BAG-30-018,8.26,7744,9.6,10,10
C-BAG-30-019,7.9,6998,9.4,10,10
C-BAG-30-020,8.03,8852,9.4,10,10
C-BAG-30-021,7.85,5906,9.4,10,10
C-BAG-30-022,8.19,5010,9.5,10,10
C-BAG-30-023,7.94,7177,9.4,10,10
C-BAG-30-024,7.94,4381,9.4,10,10
C-BAG-30-025,8.09,6006,9.5,10,10
C-BAG-30-026,8.06,10012,9.5,10,10
C-BAG-30-027,7.53,3893,9.2,10,9.7
C-BAG-30-028,8.17,6824,9.5,10,10
C-BAG-30-029,8.03,9203,9.4,10,10
C-BAG-30-030,7.75,3658,9.3,10,10
C-BAG-30-031,7.81,3175,9.3,10,10
C-BAG-30-032,7.96,7253,9.4,10,10
C-BAG-30-033,7.89,8067,9.4,10,10
C-BAG-30-034,8,14553,9.4,10,10
C-BAG-30-035,7.94,20182,9.4,10,10
C-BAG-30-036,7.79,4125,9.3,10,10
C-BAG-30-037,8.11,11043,9.5,10,10
C-BAG-30-038,7.58,5434,9.2,10,10
C-BAG-30-039,8.08,5650,9.5,10,10
C-BAG-30-040,7.82,4920,9.3,10,10
C-BAG-30-041,7.98,7892,9.4,10,10
C-BAG-30-042,7.94,5521,9.4,10,10
C-BAG-30-043,7.55,3322,9.2,10,10
C-BAG-30-044,7.68,3306,9.3,10,10
C-BAG-30-045,7.42,3597,9.1,10,9.8
C-BAG-30-046,7.96,6622,9.4,10,10
C-BAG-30-047,7.95,5151,9.4,10,10
C-BAG-30-048,8.09,9838,9.5,10,10
C-BAG-30-049,7.38,2072,9.1,10,9.8
C-BAG-30-050,7.76,3393,9.3,10,10
C-JAN-17-001,6.68,3503,6.4,8.1,9.2
C-JAN-17-002,6.65,5589,6.4,7.9,8.8
C-JAN-17-003,6.61,2921,6.4,8.2,9.3
C-JAN-17-004,6.69,5888,6.5,7.9,8.8
C-JAN-17-005,6.57,6983,6.4,7.7,8.9
C-JAN-17-006,6.63,5068,6.4,7.9,9.1
C-JAN-17-007,6.69,7820,6.5,7.7,8.5
C-JAN-17-008,6.45,3405,6.3,8,8.7
C-JAN-17-009,6.48,4030,6.3,7.9,8.9
C-JAN-17-010,6.46,4283,6.3,7.9,9.1
C-JAN-17-011,6.73,3646,6.5,8.1,9.1
C-JAN-17-012,6.65,6338,6.4,7.8,8.8
C-JAN-17-013,6.65,7558,6.4,7.7,8.9
C-JAN-17-014,6.74,2948,6.5,8.2,9.2
C-JAN-17-015,6.82,6752,6.5,7.9,8.9
C-JAN-17-016,6.94,7102,6.6,7.9,8.2
C-JAN-17-017,6.74,12125,6.5,7.5,8.6
C-JAN-17-018,6.67,15519,6.4,7.4,8
C-JAN-17-019,6.83,5176,6.5,8,8.9
C-JAN-17-020,6.76,4848,6.5,8,8.8
C-JAN-17-021,6.66,6945,6.4,7.8,9
C-JAN-17-022,6.55,4907,6.4,7.9,9
C-JAN-17-023,6.63,6611,6.4,7.8,8.8
C-JAN-17-024,6.61,4713,6.4,7.9,9.2
C-JAN-17-025,6.72,8847,6.5,7.7,8.6
C-JAN-17-026,6.61,7008,6.4,7.7,8.9
C-JAN-17-027,6.62,4308,6.4,8,9.2
C-JAN-17-028,6.63,7934,6.4,7.7,8.7
C-JAN-17-029,6.55,7292,6.4,7.7,8.6
C-JAN-17-030,6.82,10907,6.5,7.6,8.3
C-JAN-17-031,6.64,8928,6.4,7.6,8.7
C-JAN-17-032,6.68,8662,6.4,7.7,8.4
C-JAN-17-033,6.76,9395,6.5,7.7,8.5
C-JAN-17-034,6.52,6874,6.3,7.7,8.5
C-JAN-17-035,6.59,7021,6.4,7.7,8.6
C-JAN-17-036,6.55,4744,6.4,7.9,9
C-JAN-17-037,6.6,12143,6.4,7.4,8.5
C-JAN-17-038,6.62,5658,6.4,7.8,8.7
C-JAN-17-039,6.67,7807,6.4,7.7,7.2
C-JAN-17-040,6.75,5068,6.5,8,8.8
C-JAN-17-041,6.58,3780,6.4,8,9
C-JAN-17-042,6.66,5231,6.4,7.9,8.8
